
Gene.name,Chromosome,Start,end
RP11-565P22.2,1,162316852,162317794
RP11-565P22.6,1,162365407,162383531
C1orf226,1,162366908,162386818
C1orf111,1,162373203,162376870
SH2D1B,1,162395266,162412138
UHMK1,1,162497251,162529629
RP11-359K18.3,1,162560227,162561308
UAP1,1,162561506,162599842
DDR2,1,162631373,162787400
HSD17B7,1,162790702,162812817
CCDC190,1,162824458,162868815
RGS4,1,163068775,163076802
RGS5,1,163111121,163321791
RP11-267N12.1,1,163161675,163213023
RP11-77M5.1,1,163259850,163260659
NUF2,1,163266576,163355764
PBX1,1,164555584,164899296
RP11-506O24.1,1,164769116,164774641
LMX1A,1,165201867,165356715
RP11-38C18.2,1,165210627,165213090
RP11-38C18.3,1,165215980,165219104
RXRG,1,165400917,165445355
RP11-280O1.2,1,165476841,165582155
LRRC52,1,165544007,165563961
RP11-306I1.2,1,165598463,165623331
MGST3,1,165630861,165661796
ALDH9A1,1,165662216,165698863
RP11-466F5.10,1,165706556,165707284
TMCO1,1,165724293,165827755
RP11-466F5.8,1,165768929,165775176
UCK2,1,165827531,165911618
RP11-525G13.2,1,165890795,165900683
FAM78B,1,166057426,166166969
RP11-375H19.2,1,166081183,166087483
RP11-479J7.2,1,166334884,166335762
RP11-479J7.1,1,166387727,166452632
RP11-276E17.2,1,166475772,166490039
POGK,1,166839447,166856344
TADA1,1,166856510,166876327
ILDR2,1,166895711,166975482
MAEL,1,166975582,167022214
RP11-102C16.3,1,167052551,167058542
GPA33,1,167052836,167166479
DUSP27,1,167094045,167129165
LINC01363,1,167175917,167195792
RP11-277B15.3,1,167219831,167220512
POU2F1,1,167220829,167427345
CD247,1,167430640,167518610
RP11-104L21.3,1,167457742,167459891
CREG1,1,167529677,167553767
RP3-455J7.4,1,167627385,167630674
RCSD1,1,167630093,167706249
MPZL1,1,167721192,167791919
ADCY10,1,167809388,167914215
RP1-313L4.3,1,167820406,167821224
MPC2,1,167916729,167937040
DCAF6,1,167935783,168075843
GPR161,1,168079543,168137667
TIPRL,1,168178933,168202114
SFT2D2,1,168225938,168253025
TBX19,1,168281040,168314426
RP5-968D22.1,1,168400829,168422656
RP5-968D22.3,1,168464214,168495644
XCL2,1,168540765,168543997
XCL1,1,168576473,168582077
DPT,1,168695459,168729264
RP1-10C16.1,1,168763365,168774490
LINC00626,1,168786939,168792886
LINC00970,1,168903905,169087005
RP5-1018K9.1,1,169104124,169104907
ATP1B1,1,169105697,169132722
NME7,1,169132531,169367967
RP4-800F24.1,1,169310665,169322479
BLZF1,1,169367970,169396540
CCDC181,1,169394870,169460669
SLC19A2,1,169463909,169486003
RP1-206D15.6,1,169486076,169486986
F5,1,169514166,169586588
SELP,1,169588849,169630193
C1orf112,1,169662007,169854080
SELL,1,169690667,169711698
SELE,1,169722641,169764705
RP1-117P20.3,1,169762929,169764648
METTL18,1,169792529,169794966
SCYL3,1,169849631,169894267
KIFAP3,1,169921326,170085208
RP11-332H17.1,1,170024077,170024683
METTL11B,1,170146001,170167790
RP11-297H3.3,1,170174403,170241287
LINC01142,1,170271603,170284208
RP11-576I22.2,1,170460453,170532647
GORAB,1,170532129,170553446
RP11-545I10.2,1,170587249,170588236
RP1-79C4.1,1,170598854,170647339
PRRX1,1,170662728,170739419
RP1-79C4.4,1,170667381,170669425
MROH9,1,170935471,171064765
FMO3,1,171090877,171117819
FMO2,1,171185208,171211230
RP1-127D3.4,1,171199244,171227788
RP1-45C12.1,1,171247580,171251794
FMO1,1,171248471,171285978
FMO4,1,171314208,171342084
PRRC2C,1,171485551,171593511
MYOC,1,171635417,171652683
VAMP4,1,171700160,171742247
METTL13,1,171781664,171814023
DNM3,1,171841498,172418466
DNM3OS,1,172136531,172144794
PIGC,1,172370189,172444086
C1orf105,1,172420688,172468831
SUCO,1,172532349,172611833
FASLG,1,172659018,172666874
RP1-15D23.2,1,172775905,173064015
RP3-471M13.2,1,172906900,172907684
TNFSF18,1,173039960,173050963
RP3-395P12.2,1,173174300,173175503
TNFSF4,1,173183734,173207313
RP11-296O14.3,1,173417793,173461362
PRDX6,1,173477266,173488807
SLC9C2,1,173500464,173603094
RP3-436N22.3,1,173555251,173612772
ANKRD45,1,173609561,173669862
RP11-360D2.1,1,173635773,173637134
KLHL20,1,173714941,173786702
CENPL,1,173799550,173824720
DARS2,1,173824503,173858546
GAS5-AS1,1,173863248,173863941
ZBTB37,1,173868082,173903549
SERPINC1,1,173903804,173917378
RC3H1,1,173931214,174022297
RP11-160H22.3,1,174022509,174022985
RP11-160H22.5,1,174115300,174160004
RABGAP1L,1,174159410,174995308
GPR52,1,174448111,174449198
RP1-102G20.5,1,174934947,174954261
CACYBP,1,174999163,175011715
MRPS14,1,175010789,175023425
TNN,1,175067858,175148066
KIAA0040,1,175156987,175192999
RP5-1114G22.2,1,175203228,175204849
RP3-518E13.2,1,175307218,175335459
TNR,1,175315194,175743770
RP11-222A5.1,1,175877343,175880468
RP11-318C24.2,1,175904762,175920513
RFWD2,1,175944831,176207493
RP11-492I21.1,1,176017277,176018760
RP11-195C7.1,1,176207648,176229330
PAPPA2,1,176463171,176845605
ASTN1,1,176857302,177164973
BRINP2,1,177171497,177282422
RP1-35C21.1,1,177351586,177366272
RP1-35C21.2,1,177393287,177597709
RP11-63B19.1,1,177700524,177710330
SEC16B,1,177923956,177984303
RASAL2-AS1,1,178091508,178093984
RASAL2,1,178094141,178484147
RP4-593C16.4,1,178479247,178482365
LINC00083,1,178495896,178499634
TEX35,1,178513077,178548602
C1orf220,1,178542752,178548889
RP5-1098D14.1,1,178651706,178652282
RP11-428K3.1,1,178724306,178726285
RALGPS2,1,178725147,178921841
ANGPTL1,1,178849705,178871052
FAM20B,1,179025804,179076562
TOR3A,1,179081377,179098023
ABL2,1,179099327,179229684
SOAT1,1,179293714,179358680
AXDND1,1,179365720,179554735
RP11-545A16.1,1,179543201,179548922
NPHS2,1,179550539,179575952
TDRD5,1,179591613,179691272
RP11-12M5.1,1,179730217,179742697
FAM163A,1,179743163,179816198
RP11-12M5.3,1,179816184,179818191
RP11-12M5.4,1,179829609,179836124
TOR1AIP2,1,179839967,179877803
RP11-533E19.7,1,179881607,179882595
TOR1AIP1,1,179882042,179925000
RP11-533E19.2,1,179926641,179941796
RP11-533E19.5,1,179953184,179954440
CEP350,1,179954738,180114880
RP11-502H18.2,1,180117140,180123890
QSOX1,1,180154834,180204030
LHX4,1,180230286,180278982
ACBD6,1,180269653,180502954
OVAAL,1,180558976,180566518
XPR1,1,180632004,180890251
RP11-46A10.2,1,180906651,180909166
KIAA1614,1,180913154,180951614
RP11-46A10.5,1,180944042,180976482
KIAA1614-AS1,1,180949699,180954887
STX6,1,180972712,181023121
MR1,1,181033425,181061938
IER5,1,181088712,181092899
RP11-540K16.1,1,181174484,181182208
RP11-540K16.2,1,181190471,181191149
GM140,1,181236388,181238604
CACNA1E,1,181413102,181808084
RP11-33M22.2,1,181812705,181813261
ZNF648,1,182054570,182061712
RP11-538D16.2,1,182062677,182069253
RP11-538D16.3,1,182086551,182090112
GS1-122H1.1,1,182127297,182128665
LINC01344,1,182129310,182314061
GLUL,1,182381704,182392206
TEDDM1,1,182398117,182400616
LINC00272,1,182407621,182414815
RGSL1,1,182409192,182560599
RNASEL,1,182573634,182589256
RGS16,1,182598623,182604408
RP11-317P15.4,1,182615254,182616629
RGS8,1,182641816,182684576
RP11-317P15.3,1,182712862,182714544
NPL,1,182789293,182830384
DHX9,1,182839369,182887751
SHCBP1L,1,182899865,182953525
LAMC1,1,183023460,183145592
RP11-181K3.4,1,183138402,183141282
LAMC2,1,183186238,183244900
NMNAT2,1,183248237,183418602
SMG7,1,183472216,183598246
NCF2,1,183555563,183590876
ARPC5,1,183620846,183635757
RGL1,1,183636085,183928531
APOBEC4,1,183646404,183653316
RP11-444D13.1,1,183754418,183754937
COLGALT2,1,183929854,184037729
TSEN15,1,184051677,184074212
RP11-382D12.1,1,184329071,184332826
RP11-382D12.2,1,184385753,184386704
C1orf21,1,184387058,184629020
EDEM3,1,184690231,184754913
FAM129A,1,184790724,184974550
GS1-120K12.4,1,185001527,185008683
RNF2,1,185045364,185102608
TRMT1L,1,185118098,185157072
SWT1,1,185157080,185291765
IVNS1ABP,1,185296388,185317329
GS1-279B7.2,1,185317779,185318530
GS1-279B7.1,1,185321157,185335039
LINC01350,1,185558372,185628527
GS1-204I12.4,1,185655002,185657168
HMCN1,1,185734551,186190949
GS1-174L6.4,1,186176814,186177302
PRG4,1,186296279,186314562
TPR,1,186311652,186375693
C1orf27,1,186375838,186421378
AL596220.1,1,186394991,186396776
OCLM,1,186400572,186401455
RP11-295K2.3,1,186435161,186470291
PDC,1,186443566,186461122
GS1-304P7.3,1,186521773,186522304
PTGS2,1,186671791,186680427
PACERR,1,186680622,186681446
PLA2G4A,1,186828953,186988981
LINC01036,1,187092842,187360323
LINC01037,1,187443606,187477222
RP11-445P19.3,1,187480293,187480614
ERVMER61-1,1,187641226,187643860
RP11-201A3.1,1,188218400,188220676
RP11-669M2.1,1,188508538,188536465
RP11-316I3.1,1,188705623,188710880
RP11-316I3.2,1,188869477,188887434
LINC01035,1,188905688,189037262
RP11-398M15.1,1,189775465,189814918
RP11-445J9.1,1,189868001,189868528
BRINP3,1,190097662,190478404
RP11-547I7.1,1,190264898,190362270
LINC01351,1,190478551,190480735
RP11-161I10.1,1,190480379,190494297
RP11-463J7.2,1,190624890,190801658
RP11-309H21.3,1,191151510,191154634
RP11-309H21.2,1,191221159,191228467
RP11-541F9.1,1,191858707,191890229
RP11-541F9.2,1,191875495,192011260
RGS18,1,192158457,192185815
RGS21,1,192316992,192367285
RP5-1011O1.2,1,192517639,192567217
RP5-1011O1.3,1,192529579,192538102
RGS1,1,192575727,192580031
RGS13,1,192636138,192660306
RGS2,1,192809039,192812283
LINC01032,1,192937300,192948257
UCHL5,1,193012250,193060080
TROVE2,1,193059422,193091777
RP11-101E13.5,1,193090866,193091556
GLRX2,1,193096468,193106114
CDC73,1,193122017,193253901
B3GALT2,1,193179045,193186654
LINC01031,1,193304745,193365953
RP11-21J7.1,1,193678894,193727035
RP11-98G13.1,1,193684246,193688429
RP11-563D10.1,1,194149473,194198694
RP11-476H20.1,1,194350943,194352426
RP11-476B1.1,1,196044996,196061073
KCNT2,1,196225779,196609225
CFH,1,196651878,196747504
CFHR3,1,196774795,196795406
RP4-608O15.3,1,196819745,196959210
CFHR1,1,196819757,196832189
CFHR4,1,196850241,196918972
CFHR2,1,196943772,196959226
CFHR5,1,196977556,197009674
F13B,1,197039191,197067267
ASPM,1,197084128,197146694
ZBTB41,1,197153680,197200542
CRB1,1,197268204,197478455
RP11-75C23.1,1,197437976,197447469
DENND1B,1,197504748,197775696
RP11-448G4.4,1,197757319,197761965
C1orf53,1,197902647,197907367
LHX9,1,197911902,197935478
NEK7,1,198156963,198322420
ATP6V1G3,1,198523222,198540945
RP11-553K8.2,1,198597724,198598868
PTPRC,1,198638671,198757283
RP11-553K8.5,1,198657553,198667061
MIR181A1HG,1,198807493,198937429
RP11-16L9.2,1,198983321,198985400
LINC01222,1,199006040,199021037
LINC01221,1,199016133,199076735
RP11-382E9.1,1,199148598,199393307
NR5A2,1,200027602,200177424
RP11-532L16.3,1,200315435,200315967
LINC00862,1,200342544,200374354
ZNF281,1,200404940,200410056
RP11-469A15.2,1,200411800,200478293
RP11-121P12.1,1,200478020,200483604
KIF14,1,200551497,200620734
DDX59,1,200623896,200669969
RP11-92G12.3,1,200669507,200694250
CAMSAP2,1,200739558,200860704
GPR25,1,200873038,200874123
C1orf106,1,200891048,200915735
KIF21B,1,200969390,201023700
RP11-168O16.1,1,201023949,201028792
RP11-168O16.2,1,201031136,201043073
CACNA1S,1,201039512,201112566
ASCL5,1,201113953,201127184
TMEM9,1,201134772,201171574
IGFN1,1,201190825,201228952
RP11-567E21.3,1,201222113,201223123
PKP1,1,201283452,201332993
TNNT2,1,201359008,201377762
LAD1,1,201373244,201399915
RP11-27G14.4,1,201399633,201401190
TNNI1,1,201403768,201429866
PHLDA3,1,201464383,201469237
CSRP1,1,201483530,201509456
RP11-134G8.7,1,201507241,201534784
RP11-134G8.5,1,201518703,201530474
NAV1,1,201622885,201826969
RP11-25B7.1,1,201673105,201674144
IPO9-AS1,1,201688259,201829559
RP11-90L20.2,1,201723294,201737506
IPO9,1,201829141,201884294
SHISA4,1,201888680,201892306
RP11-307B6.3,1,201893842,201899978
LMOD1,1,201896452,201946588
TIMM17A,1,201955491,201970661
RNPEP,1,201982372,202006147
RP11-465N4.5,1,201995696,201996352
RP11-465N4.4,1,202000094,202010353
ELF3,1,202007945,202017188
GPR37L1,1,202122858,202133592
ARL8A,1,202133404,202144743
PTPN7,1,202147013,202161588
LGR6,1,202193901,202319781
UBE2T,1,202331657,202341980
PPP1R12B,1,202348699,202592706
SYT2,1,202590596,202710417
RP11-569A11.1,1,202604268,202605293
RP11-569A11.2,1,202632428,202632911
KDM5B,1,202724491,202809470
RP11-480I12.10,1,202810238,202810829
PCAT6,1,202810954,202812156
RABIF,1,202878957,202889135
KLHL12,1,202891100,202928636
ADIPOR1,1,202940823,202958572
CYB5R1,1,202961869,202967280
TMEM183A,1,203007386,203024848
PPFIA4,1,203026498,203078740
MYOG,1,203083132,203086036
ADORA1,1,203090654,203167405
RP11-335O13.7,1,203127259,203127954
RP11-335O13.8,1,203144694,203152579
MYBPH,1,203167811,203175813
CHI3L1,1,203178931,203186749
CHIT1,1,203212827,203273641
LINC01353,1,203287152,203288801
LINC01136,1,203298758,203305309
BTG2,1,203305491,203309602
FMOD,1,203340628,203351489
PRELP,1,203475828,203491352
OPTC,1,203494143,203508864
ATP2B4,1,203626561,203744081
LAX1,1,203765176,203776233
ZC3H11A,1,203795654,203854124
ZBED6,1,203796309,203800558
SNRPE,1,203861603,203870550
LINC00303,1,204032447,204041265
SOX13,1,204073115,204127743
RP11-74C13.4,1,204131062,204131966
ETNK2,1,204131062,204152003
RP11-74C13.3,1,204141408,204143009
REN,1,204154819,204166322
KISS1,1,204190341,204196486
GOLT1A,1,204198160,204214092
PLEKHA6,1,204218851,204377665
RP11-203F10.5,1,204277005,204277948
LINC00628,1,204368431,204369719
RP11-739N20.2,1,204377850,204435846
PPP1R15B,1,204403387,204411791
PIK3C2B,1,204422628,204494724
MDM4,1,204516379,204558120
RP11-430C7.4,1,204603035,204616565
LRRN2,1,204617170,204685733
RP11-430C7.5,1,204626775,204629712
RP11-23I7.1,1,204663872,204664613
NFASC,1,204828651,205022822
CNTN2,1,205043197,205078499
TMEM81,1,205083129,205084460
RBBP5,1,205086142,205122015
DSTYK,1,205142505,205211566
TMCC2,1,205228176,205273343
RP11-383G10.5,1,205233821,205236867
NUAK2,1,205302059,205321791
KLHDC8A,1,205336065,205357090
LEMD1-AS1,1,205373252,205387440
LEMD1,1,205381378,205457091
BLACAT1,1,205434886,205437879
RP11-576D8.4,1,205455929,205469024
CDK18,1,205504595,205532793
MFSD4,1,205568885,205602918
ELK4,1,205597556,205631962
SLC45A3,1,205657851,205680459
NUCKS1,1,205712819,205750276
RAB29,1,205767986,205775460
SLC41A1,1,205789093,205813748
PM20D1,1,205828022,205850132
SLC26A9,1,205913048,205943460
RP4-681L3.2,1,205935128,205935768
RAB7B,1,205976740,206003461
CTSE,1,206009264,206023909
C1orf186,1,206037231,206102459
AVPR1B,1,206109692,206117699
RP11-38J22.3,1,206117783,206126805
RP11-38J22.1,1,206175060,206177246
FAM72A,1,206186179,206204414
SRGAP2,1,206203345,206464443
IKBKE,1,206470476,206496889
C1orf147,1,206491116,206497728
RP11-534L20.5,1,206503948,206504456
RASSF5,1,206507530,206589283
EIF2D,1,206571292,206612463
RP11-343H5.6,1,206634649,206635622
DYRK3,1,206635536,206684419
MAPKAPK2,1,206684944,206734283
IL10,1,206767602,206772494
IL19,1,206798870,206842981
IL20,1,206865354,206869223
IL24,1,206897443,206904139
FCMR,1,206904386,206923247
PIGR,1,206928518,206946466
FCAMR,1,206957965,206970625
C1orf116,1,207018521,207032756
PFKFB2,1,207034366,207081024
YOD1,1,207043849,207052980
C4BPB,1,207088842,207099993
C4BPA,1,207104262,207144972
RP11-164O23.8,1,207127010,207127486
RP11-164O23.7,1,207179296,207184062
RP11-6J21.2,1,207240122,207309292
CD55,1,207321508,207386804
RP11-357P18.2,1,207372559,207373252
RP11-357P18.3,1,207401691,207416236
CR2,1,207454230,207489895
CR1,1,207496147,207640647
RP11-78B10.2,1,207551925,207606555
CR1L,1,207645113,207738416
CD46,1,207752057,207795513
C1orf132,1,207801518,207869150
RP11-328D5.1,1,207873795,207879073
CD34,1,207880972,207911402
PLXNA2,1,208022242,208244320
RP11-565N2.1,1,208607100,208612192
RP11-565N2.2,1,208626741,208628085
RP11-459K23.2,1,208728688,208733184
RP5-1051D14.1,1,208972454,208975307
RP11-385M4.1,1,209147267,209155101
RP11-372M18.1,1,209325456,209328532
RP11-372M18.2,1,209367662,209379690
RP1-272L16.1,1,209528455,209567673
CAMK1G,1,209583717,209613938
LAMB3,1,209614870,209652466
RP1-28O10.1,1,209661364,209724125
G0S2,1,209675420,209676388
HSD11B1,1,209686178,209734950
TRAF3IP3,1,209756032,209782320
C1orf74,1,209779208,209784559
IRF6,1,209785623,209806175
DIEXF,1,209828007,209857565
SYT14,1,209938174,210171315
SERTAD4-AS1,1,210231456,210234047
SERTAD4,1,210232799,210246631
HHAT,1,210328252,210676296
KCNH1,1,210678315,211134115
RP11-543B16.3,1,211182156,211183104
RCOR3,1,211258377,211316385
TRAF5,1,211326615,211374946
LINC00467,1,211382803,211435333
RD3,1,211476522,211492917
RP11-359E8.3,1,211492255,211492917
SLC30A1,1,211571568,211578742
RP11-354K1.2,1,211635906,211642867
RP11-354K1.1,1,211639695,211654581
NEK2,1,211658657,211675630
RP11-122M14.1,1,211675762,211690103
RP11-122M14.3,1,211715928,211725402
LPGAT1,1,211743457,211830772
RP11-552D8.1,1,211829846,211853703
INTS7,1,211940399,212035542
DTL,1,212035553,212107400
RP11-15I11.2,1,212168207,212190259
RP11-15I11.3,1,212225278,212238977
PPP2R5A,1,212285537,212361863
RP11-384C4.7,1,212299495,212331713
TMEM206,1,212363931,212414901
NENF,1,212432887,212446379
RP11-61J19.2,1,212466816,212467743
RP11-61J19.3,1,212545694,212556065
RP11-61J19.5,1,212557833,212559731
ATF3,1,212565334,212620777
RP11-338C15.5,1,212624284,212626771
FAM71A,1,212624474,212626778
RP11-338C15.3,1,212653999,212665434
BATF3,1,212686418,212699985
NSL1,1,212726153,212791782
TATDN3,1,212791828,212816626
SPATA45,1,212830141,212847649
FLVCR1-AS1,1,212852108,212858088
FLVCR1,1,212858255,212899363
RP11-348H3.8,1,212916787,212917577
VASH2,1,212950520,212992037
ANGEL2,1,212992182,213015826
RPS6KC1,1,213051233,213274773
RP11-554K11.2,1,213492301,213546447
RP11-323I1.1,1,213731416,213794587
LINC00538,1,213924749,213926654
PROX1,1,213983181,214041502
RP11-478J18.2,1,213983793,213986419
PROX1-AS1,1,214028891,214030901
SMYD2,1,214281102,214337131
PTPN14,1,214348696,214552449
CENPF,1,214603195,214664588
KCNK2,1,215005775,215237093
RP11-199H2.2,1,215393646,215394418
KCTD3,1,215567392,215621807
USH2A,1,215622894,216423396
RP5-1111A8.3,1,215886582,215901464
RP11-22M7.2,1,216072465,216086917
RP5-1099E6.3,1,216194051,216204366
ESRRG,1,216503246,217137755
GPATCH2,1,217426992,217631082
SPATA17,1,217631324,217871696
SPATA17-AS1,1,217781198,217785120
LINC00210,1,217892900,217920804
RP11-152L7.1,1,218031835,218033660
RP11-152L7.2,1,218043505,218059140
RRP15,1,218285287,218337983
TGFB2-AS1,1,218344196,218345678
TGFB2,1,218346235,218444619
C1orf143,1,218510096,218525978
RP11-412H9.2,1,218912757,218916184
LYPLAL1-AS1,1,219086602,219173961
LYPLAL1,1,219173844,219212865
RP11-135J2.3,1,219222248,219225497
RP11-392O17.2,1,219270774,219273387
RP11-392O17.1,1,219409681,219411941
RP11-95P13.1,1,219435152,219442642
RP11-95P13.2,1,219557192,219557701
SLC30A10,1,219685427,219958647
EPRS,1,219968601,220046658
BPNT1,1,220057482,220090462
IARS2,1,220094102,220148041
RAB3GAP2,1,220148293,220272454
RP11-302I18.3,1,220359731,220360183
RP11-410C4.5,1,220401122,220404033
RP11-410C4.4,1,220485104,220487043
MARK1,1,220528183,220664461
C1orf115,1,220689845,220699157
MARK1-1,1,220748225,220784815
MARK1-2,1,220786759,220819657
RNU6ATAC35P,1,220825620,220826063
RP11-295M18.6,1,220828676,220829211
LINC01352,1,220829255,220832429
HLX-AS1,1,220832763,220880140
HLX,1,220879400,220885059
C1orf140,1,221330080,221336296
RP11-103C3.1,1,221508559,221510979
DUSP10,1,221701424,221742176
RP11-191N8.2,1,221827666,221840666
RP11-815M8.1,1,221880981,221978523
RP11-400N13.2,1,221966341,221984964
RP11-400N13.3,1,222041705,222064763
RP11-400N13.1,1,222089169,222387434
RP11-358H9.1,1,222452738,222454705
RP11-378J18.9,1,222477252,222504622
HHIPL2,1,222522258,222548103
TAF1A,1,222557902,222589933
TAF1A-AS1,1,222589825,222593032
MIA3,1,222618086,222668012
RP11-378J18.8,1,222658867,222661512
AIDA,1,222668013,222713210
BROX,1,222712553,222735196
FAM177B,1,222737207,222750805
RP11-452F19.3,1,222815022,222837384
RP11-455P21.3,1,222815064,222994906
DISP1,1,222872271,223005995
TLR5,1,223109406,223143282
RP11-239E10.2,1,223144049,223144954
RP11-239E10.3,1,223181144,223188154
SUSD4,1,223220819,223364202
CCDC185,1,223393417,223395470
CAPN8,1,223538007,223665734
CAPN2,1,223701593,223776018
TP53BP2,1,223779899,223845972
RP11-504P24.9,1,223994262,223995196
FBXO28,1,224114087,224162047
DEGS1,1,224175756,224193441
RP11-365O16.6,1,224219613,224228043
NVL,1,224227334,224330387
CNIH4,1,224356850,224379459
WDR26,1,224385143,224437033
CNIH3,1,224434660,224740549
RP11-3L21.2,1,224717504,224730662
RP11-449J1.1,1,224766900,224773341
DNAH14,1,224896262,225399292
LBR,1,225401502,225428925
RP11-496N12.9,1,225465021,225473837
ENAH,1,225486835,225653142
RP11-145A3.1,1,225700604,225752243
SRP9,1,225777813,225790466
EPHX1,1,225810092,225845563
RP11-285F7.2,1,225840883,225846522
TMEM63A,1,225845536,225882369
LEFTY1,1,225886282,225911382
RP4-559A3.7,1,225886696,225924278
PYCR2,1,225919877,225924340
LEFTY2,1,225936598,225941489
SDE2,1,225982702,225999331
RP11-396C23.4,1,226060712,226061876
H3F3A,1,226061851,226072001
RP11-396C23.2,1,226083639,226090292
ACBD3,1,226144679,226186730
RP11-275I14.4,1,226148003,226155071
MIXL1,1,226223618,226227054
LIN9,1,226231149,226309869
PARP1,1,226360691,226408079
C1orf95,1,226548800,226609214
ITPKB,1,226631690,226739323
ITPKB-AS1,1,226668897,226676345
PSEN2,1,226870184,226896105
ADCK3,1,226897536,226987545
CDC42BPA,1,226989865,227318474
RP5-1087E8.3,1,226992140,226993206
RP11-1B20.1,1,227178333,227183444
CTD-2090I13.1,1,227393591,227431035
ZNF678,1,227563543,227677443
SNAP47,1,227728539,227781231
JMJD4,1,227730425,227735411
SNAP47-AS1,1,227743831,227747191
PRSS38,1,227815693,227846470
WNT9A,1,227918656,227947898
WNT3A,1,228007051,228061260
RP5-881P19.7,1,228073909,228076550
ARF1,1,228082660,228099212
C1orf35,1,228100726,228105411
MRPL55,1,228106679,228109312
GUK1,1,228139962,228148984
GJC2,1,228149852,228159826
IBA57-AS1,1,228164086,228165512
IBA57,1,228165815,228182257
C1orf145,1,228203506,228213664
OBSCN,1,228208130,228378876
RP5-1139B12.2,1,228270443,228274397
RP5-1139B12.3,1,228274584,228276066
RP5-1139B12.4,1,228295911,228302998
RP11-245P10.6,1,228384114,228385016
TRIM11,1,228393673,228406840
RP11-245P10.8,1,228394290,228396967
RP11-245P10.4,1,228407381,228409694
TRIM17,1,228407940,228416861
HIST3H3,1,228424845,228425325
HIST3H2A,1,228456979,228457873
HIST3H2BB,1,228458107,228460470
RNF187,1,228487061,228495766
RHOU,1,228735077,228746669
RP5-1065P14.3,1,229022773,229038274
RP5-1065P14.2,1,229092815,229094905
RP5-1061H20.5,1,229223461,229227562
TMEM78,1,229249636,229251810
RP5-1061H20.4,1,229258281,229271028
RAB4A,1,229271062,229305894
SPHAR,1,229304857,229305504
RP4-803J11.2,1,229319403,229323087
CCSAP,1,229321005,229343294
ACTA1,1,229431245,229434098
NUP133,1,229440260,229508341
RP4-613A2.1,1,229508501,229514272
ABCB10,1,229516582,229558695
TAF5L,1,229593111,229626047
URB2,1,229626234,229660199
RP11-286M16.1,1,229875550,229885752
RP11-552D4.1,1,230002730,230007162
GALNT2,1,230057990,230282124
RP5-956O18.2,1,230258694,230268483
RP5-956O18.3,1,230280312,230281893
PGBD5,1,230314482,230425729
RP4-553F17.1,1,230426491,230436822
RP11-543E8.1,1,230592660,230595583
COG2,1,230642489,230693982
AGT,1,230702523,230714297
RP11-99J16__A.2,1,230710698,230795492
CAPN9,1,230747384,230802003
RP5-858B6.1,1,230823641,230824707
C1orf198,1,230837119,230869589
RP5-858B6.3,1,230874846,230879015
TTC13,1,230906243,230978875
ARV1,1,230978981,231000595
FAM89A,1,231018958,231040246
TRIM67,1,231162112,231221556
RP5-1097F14.3,1,231184098,231187627
C1orf131,1,231223763,231241187
GNPAT,1,231241207,231277973
EXOC8,1,231332753,231337852
SPRTN,1,231337104,231355023
EGLN1,1,231363751,231425044
RP11-295G20.2,1,231522388,231528556
TSNAX-DISC1,1,231528653,231819244
TSNAX,1,231528653,231566524
LINC00582,1,231591292,231612090
DISC1,1,231626815,232041272
RP5-865N13.2,1,232160091,232185643
RP5-865N13.1,1,232174932,232180113
SIPA1L2,1,232397965,232561558
RP11-66A2.1,1,232718071,232722250
RP11-66A2.2,1,232727254,232742715
MAP10,1,232804892,232808407
NTPCR,1,232950605,232983882
PCNXL2,1,232983435,233295713
RP5-862P8.2,1,233327768,233385148
KCNK1,1,233614004,233672512
SLC35F3,1,233904933,234324516
RP4-799P18.2,1,234212606,234215088
RP4-799P18.3,1,234268583,234272500
RP5-827C21.2,1,234357006,234365828
RP5-827C21.6,1,234372186,234372811
RP5-827C21.4,1,234372807,234373593
COA6,1,234373456,234384049
TARBP1,1,234391313,234479103
LINC01354,1,234527891,234531779
RP5-855F14.2,1,234565298,234570088
IRF2BP2,1,234604269,234609525
RP4-781K5.2,1,234607008,234609483
LINC00184,1,234629311,234634780
RP4-781K5.9,1,234644666,234647571
RP4-781K5.4,1,234646289,234683176
RP4-781K5.5,1,234660271,234667104
RP4-781K5.6,1,234669523,234696153
RP4-781K5.7,1,234709383,234720220
LINC01132,1,234724042,234731643
AL360294.1,1,234757621,234760056
RP11-443B7.2,1,234957231,234959989
RP11-443B7.1,1,234957342,234970062
RP11-443B7.3,1,234979647,234980804
LINC01348,1,235065479,235074220
RP4-597N16.4,1,235104180,235104609
TOMM20,1,235109336,235128936
RBM34,1,235131183,235161457
ARID4B,1,235131634,235328219
GGPS1,1,235327350,235344532
TBCE,1,235367360,235448968
B3GALNT2,1,235449923,235504481
GNG4,1,235547687,235650754
LYST,1,235661041,235883640
LYST-AS1,1,235839483,235840182
RP5-940F7.2,1,235942553,235943805
RP4-580N22.2,1,235957879,235971825
NID1,1,235975830,236065162
GPR137B,1,236142505,236221865
ERO1B,1,236215555,236281985
EDARADD,1,236348262,236484914
LGALS8,1,236518000,236552981
LGALS8-AS1,1,236523052,236524508
RP11-385F5.5,1,236536162,236536704
RP11-385F5.4,1,236540094,236550280
HEATR1,1,236549005,236604504
ACTN2,1,236686454,236764631
MTR,1,236795281,236903981
MT1HL1,1,237004103,237004418
